,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
100,2012-12-26 00:00:00+00:00,248.6314,257.42,248.04,257.15,4152700,12.43157,12.871,12.402,12.8575,83054000,0.0,1.0
101,2012-12-27 00:00:00+00:00,248.31,249.35,242.86,248.28,3639300,12.4155,12.4675,12.143,12.414,72786000,0.0,1.0
102,2012-12-28 00:00:00+00:00,245.18,247.44,245.05,245.85,1858700,12.259,12.372,12.2525,12.2925,37174000,0.0,1.0
103,2012-12-31 00:00:00+00:00,250.87,252.41,242.75,243.75,3419000,12.5435,12.6205,12.1375,12.1875,68380000,0.0,1.0
104,2013-01-02 00:00:00+00:00,257.31,258.0999,253.26,256.08,3271000,12.8655,12.904995,12.663,12.804,65420000,0.0,1.0
105,2013-01-03 00:00:00+00:00,258.48,260.88,256.37,257.27,2750900,12.924,13.044,12.8185,12.8635,55018000,0.0,1.0
106,2013-01-04 00:00:00+00:00,259.15,259.8,256.65,257.58,1874200,12.9575,12.99,12.8325,12.879,37484000,0.0,1.0
107,2013-01-07 00:00:00+00:00,268.4592,269.725,262.67,262.97,4910000,13.42296,13.48625,13.1335,13.1485,98200000,0.0,1.0
108,2013-01-08 00:00:00+00:00,266.38,268.98,263.567,267.07,3010700,13.319,13.449,13.17835,13.3535,60214000,0.0,1.0
109,2013-01-09 00:00:00+00:00,266.35,269.5,265.401,268.17,2265600,13.3175,13.475,13.27005,13.4085,45312000,0.0,1.0
110,2013-01-10 00:00:00+00:00,265.34,268.74,262.3,268.54,2863400,13.267,13.437,13.115,13.427,57268000,0.0,1.0
111,2013-01-11 00:00:00+00:00,267.94,268.43,264.11,265.1,2413300,13.397,13.4215,13.2055,13.255,48266000,0.0,1.0
112,2013-01-14 00:00:00+00:00,272.73,274.26,267.54,268.0,4275000,13.6365,13.713,13.377,13.4,85500000,0.0,1.0
113,2013-01-15 00:00:00+00:00,271.9,272.73,269.3,270.68,2326900,13.595,13.6365,13.465,13.534,46538000,0.0,1.0
114,2013-01-16 00:00:00+00:00,268.93,271.24,267.83,270.53,2065600,13.4465,13.562,13.3915,13.5265,41312000,0.0,1.0
115,2013-01-17 00:00:00+00:00,270.48,271.97,269.21,271.43,1884600,13.524,13.5985,13.4605,13.5715,37692000,0.0,1.0
116,2013-01-18 00:00:00+00:00,272.12,274.5,269.6,270.83,2942000,13.606,13.725,13.48,13.5415,58840000,0.0,1.0
117,2013-01-22 00:00:00+00:00,270.19,272.1,269.23,271.62,2137700,13.5095,13.605,13.4615,13.581,42754000,0.0,1.0
118,2013-01-23 00:00:00+00:00,268.11,271.09,266.65,270.57,2508900,13.4055,13.5545,13.3325,13.5285,50178000,0.0,1.0
119,2013-01-24 00:00:00+00:00,273.62,276.65,269.37,269.37,3417000,13.681,13.8325,13.4685,13.4685,68340000,0.0,1.0
120,2013-01-25 00:00:00+00:00,283.99,284.72,274.4,275.0,4968100,14.1995,14.236,13.72,13.75,99362000,0.0,1.0
121,2013-01-28 00:00:00+00:00,276.04,284.48,274.4,283.78,4321400,13.802,14.224,13.72,14.189,86428000,0.0,1.0
122,2013-01-29 00:00:00+00:00,260.35,275.46,258.35,275.35,10172600,13.0175,13.773,12.9175,13.7675,203452000,0.0,1.0
123,2013-01-30 00:00:00+00:00,272.764,284.2,267.11,283.0,13075400,13.6382,14.21,13.3555,14.15,261508000,0.0,1.0
124,2013-01-31 00:00:00+00:00,265.5,275.94,263.6991,271.04,6772100,13.275,13.797,13.184955,13.552,135442000,0.0,1.0
125,2013-02-01 00:00:00+00:00,265.0,268.93,262.8,268.93,6115000,13.25,13.4465,13.14,13.4465,122300000,0.0,1.0
126,2013-02-04 00:00:00+00:00,259.98,264.684,259.07,262.78,3723600,12.999,13.2342,12.9535,13.139,74472000,0.0,1.0
127,2013-02-05 00:00:00+00:00,266.89,268.03,261.46,262.0,4012900,13.3445,13.4015,13.073,13.1,80258000,0.0,1.0
128,2013-02-06 00:00:00+00:00,262.22,266.89,261.11,265.16,2770400,13.111,13.3445,13.0555,13.258,55408000,0.0,1.0
129,2013-02-07 00:00:00+00:00,260.23,264.1,255.11,264.1,3975700,13.0115,13.205,12.7555,13.205,79514000,0.0,1.0
130,2013-02-08 00:00:00+00:00,261.95,265.25,260.555,261.4,3879200,13.0975,13.2625,13.02775,13.07,77584000,0.0,1.0
131,2013-02-11 00:00:00+00:00,257.21,263.25,256.6,263.2,3403700,12.8605,13.1625,12.83,13.16,68074000,0.0,1.0
132,2013-02-12 00:00:00+00:00,258.7,260.16,257.0,259.19,2943700,12.935,13.008,12.85,12.9595,58874000,0.0,1.0
133,2013-02-13 00:00:00+00:00,269.47,269.96,260.3,261.53,5293000,13.4735,13.498,13.015,13.0765,105860000,0.0,1.0
134,2013-02-14 00:00:00+00:00,269.24,270.65,265.4,267.37,3463000,13.462,13.5325,13.27,13.3685,69260000,0.0,1.0
135,2013-02-15 00:00:00+00:00,265.09,268.92,263.11,267.63,3979900,13.2545,13.446,13.1555,13.3815,79598000,0.0,1.0
136,2013-02-19 00:00:00+00:00,269.75,270.11,264.5,265.91,2854200,13.4875,13.5055,13.225,13.2955,57084000,0.0,1.0
137,2013-02-20 00:00:00+00:00,266.41,274.3,266.371,270.2,3528900,13.3205,13.715,13.31855,13.51,70578000,0.0,1.0
